"fecha","variable","valor usd oficial","porcentaje","total"
"2024-09-30","ITEC PASIVOS","0","0","747393"
"2024-08-30","ITEC STOCK","801259","104.062","769983"
"2024-08-30","ITEC CAJA","458.333","0.0595251","769983"
"2024-08-30","ITEC ACTIVOS","820748","106.593","769983"
"2024-08-30","EG STOCK","1287970","97.9348","1315130"
"2024-08-30","EG BANCO FUTURO","6566.08","0.499272","1315130"
"2024-08-30","EG GASTOS INFRAESTRUCTURA","0","0","1315130"
"2024-08-30","EG SUELDOS","0","0","1315130"
"2024-08-30","ITEC COMPRAS","40608.9","5.274","769983"
"2024-08-30","ITEC VENTAS","23008.6","2.9882","769983"
